国名,名前,ポジション,クロス,決定力,ヘディング制度,ショートパス,ボレー,ドリブル,カーブ,FK精度,ロングパス,ボールコントロール,加速,トップスピード,俊敏性,リアクション,バランス,シュートパワー,ジャンプ,スタミナ,パワフル,ロングシュート,積極性,パスカット,ポジショニング,視野,ペナルティ,平静,防御意識,タックル,スライディング,GK ダイビング,GK ハンドリング,GK キック,GK ポジショニング,GK 反射神経,能力引用元
Argentina,Franco ARMANI,GOALKEEPER,18.0,11.0,19.0,35.0,18.0,16.0,15.0,16.0,29.0,37.0,41.0,45.0,37.0,77.0,39.0,52.0,65.0,35.0,81.0,17.0,43.0,21.0,17.0,54.0,20.0,53.0,15.0,13.0,19.0,78.0,74.0,69.0,80.0,85.0,FIFA22
Argentina,Geronimo RULLI,GOALKEEPER,12.0,15.0,12.0,36.0,16.0,14.0,19.0,20.0,30.0,15.0,56.0,52.0,58.0,76.0,50.0,60.0,65.0,42.0,73.0,17.0,26.0,21.0,12.0,62.0,24.0,61.0,15.0,13.0,17.0,81.0,79.0,80.0,79.0,82.0,FIFA22
Argentina,Damian MARTINEZ,GOALKEEPER,72.0,63.0,57.0,64.0,49.0,71.0,67.0,50.0,62.0,72.0,75.0,74.0,72.0,70.0,75.0,71.0,69.0,76.0,71.0,72.0,78.0,67.0,69.0,65.0,51.0,75.0,68.0,69.0,70.0,11.0,10.0,11.0,15.0,10.0,FIFA22
Argentina,Juan FOYTH,DEFENDER,69.0,43.0,74.0,76.0,43.0,71.0,61.0,47.0,69.0,76.0,69.0,69.0,70.0,75.0,69.0,56.0,74.0,75.0,76.0,42.0,77.0,76.0,53.0,65.0,47.0,67.0,80.0,80.0,78.0,8.0,15.0,7.0,14.0,9.0,FIFA22
Argentina,Nicolas TAGLIAFICO,DEFENDER,75.0,55.0,82.0,76.0,44.0,73.0,66.0,40.0,75.0,76.0,79.0,80.0,77.0,81.0,81.0,65.0,88.0,87.0,75.0,46.0,84.0,79.0,69.0,69.0,46.0,76.0,80.0,79.0,80.0,13.0,9.0,10.0,15.0,16.0,FIFA22
Argentina,Gonzalo MONTIEL,DEFENDER,74.0,56.0,70.0,73.0,41.0,73.0,59.0,39.0,66.0,74.0,87.0,85.0,82.0,76.0,75.0,65.0,80.0,93.0,73.0,59.0,87.0,78.0,77.0,70.0,75.0,75.0,76.0,75.0,73.0,6.0,10.0,11.0,5.0,6.0,FIFA22
Argentina,German PEZZELLA,DEFENDER,40.0,48.0,80.0,64.0,40.0,54.0,46.0,32.0,56.0,65.0,54.0,53.0,33.0,69.0,49.0,54.0,81.0,54.0,77.0,50.0,79.0,78.0,47.0,22.0,35.0,72.0,78.0,81.0,77.0,7.0,9.0,13.0,10.0,15.0,FIFA22
Argentina,Cristian ROMERO,DEFENDER,42.0,48.0,83.0,72.0,52.0,54.0,40.0,38.0,56.0,68.0,76.0,73.0,72.0,80.0,68.0,51.0,86.0,79.0,82.0,36.0,89.0,82.0,43.0,41.0,40.0,80.0,84.0,85.0,84.0,5.0,7.0,11.0,10.0,14.0,FIFA22
Argentina,Nicolas OTAMENDI,DEFENDER,52.0,54.0,79.0,73.0,57.0,51.0,50.0,39.0,70.0,66.0,60.0,65.0,58.0,79.0,58.0,69.0,88.0,75.0,80.0,56.0,90.0,84.0,48.0,53.0,45.0,79.0,84.0,83.0,80.0,12.0,5.0,8.0,11.0,12.0,FIFA22
Argentina,Lisandro MARTINEZ,DEFENDER,75.0,52.0,74.0,80.0,56.0,76.0,63.0,53.0,82.0,78.0,74.0,71.0,73.0,77.0,79.0,72.0,90.0,84.0,78.0,66.0,84.0,82.0,62.0,73.0,55.0,82.0,83.0,81.0,81.0,6.0,14.0,13.0,14.0,8.0,FIFA22
Argentina,Nahuel MOLINA,DEFENDER,78.0,66.0,60.0,72.0,60.0,76.0,63.0,32.0,64.0,74.0,79.0,77.0,74.0,74.0,69.0,69.0,75.0,79.0,57.0,66.0,72.0,71.0,70.0,68.0,38.0,68.0,70.0,73.0,69.0,12.0,13.0,8.0,5.0,10.0,FIFA22
Argentina,Leandro PAREDES,MIDFIELDER,79.0,61.0,60.0,82.0,71.0,79.0,80.0,78.0,84.0,80.0,67.0,66.0,67.0,76.0,75.0,88.0,66.0,76.0,77.0,77.0,89.0,75.0,76.0,84.0,64.0,84.0,78.0,77.0,80.0,9.0,14.0,6.0,9.0,10.0,FIFA22
Argentina,Rodrigo DE PAUL,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Marcos ACUNA,MIDFIELDER,87.0,66.0,58.0,82.0,68.0,87.0,88.0,75.0,78.0,88.0,77.0,76.0,83.0,83.0,90.0,82.0,63.0,90.0,80.0,81.0,84.0,79.0,81.0,82.0,76.0,87.0,80.0,84.0,82.0,8.0,14.0,13.0,13.0,14.0,FIFA22
Argentina,Exequiel PALACIOS,MIDFIELDER,67.0,70.0,59.0,80.0,63.0,78.0,68.0,47.0,80.0,79.0,74.0,39.0,78.0,71.0,79.0,81.0,70.0,83.0,65.0,76.0,78.0,80.0,67.0,78.0,63.0,78.0,74.0,77.0,77.0,10.0,5.0,8.0,9.0,6.0,FIFA22
Argentina,Thiago ALMADA,MIDFIELDER,64.0,71.0,39.0,74.0,73.0,82.0,83.0,65.0,68.0,79.0,90.0,81.0,92.0,72.0,93.0,75.0,56.0,74.0,55.0,72.0,64.0,58.0,68.0,72.0,77.0,81.0,47.0,57.0,53.0,12.0,8.0,9.0,8.0,10.0,FIFA22
Argentina,Alejandro GOMEZ,MIDFIELDER,83.0,77.0,38.0,83.0,72.0,84.0,85.0,79.0,78.0,85.0,90.0,82.0,91.0,82.0,93.0,79.0,67.0,72.0,44.0,82.0,56.0,40.0,78.0,85.0,72.0,85.0,50.0,30.0,34.0,8.0,11.0,12.0,9.0,6.0,FIFA22
Argentina,RODRIGUEZ GUIDO,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Alexis MAC ALLISTER,MIDFIELDER,79.0,77.0,61.0,77.0,71.0,74.0,83.0,81.0,76.0,78.0,73.0,68.0,71.0,74.0,72.0,76.0,64.0,68.0,63.0,80.0,51.0,45.0,76.0,77.0,77.0,74.0,65.0,54.0,51.0,7.0,10.0,14.0,15.0,10.0,FIFA22
